,predicted_answer,groundtruth,matches?,options,sources,questions,result_id_groundtruth,result_id_prediction,matches_ids
122,orbit at the edge of the front and wait for an improvement.,Fly the shortest route through the front.,0,"[{'id': 1, 'answer': 'Orbit at the edge of the front and wait for an improvement.'}, {'id': 2, 'answer': 'Descend as low as possible while remaining above 500 ft AGL, below MSA in IMC if necessary, to pass under the front.'}, {'id': 3, 'answer': 'Fly along the front to find a clear area.'}, {'id': 4, 'answer': 'Fly the shortest route through the front.'}]","[Document(page_content='Incorrect\n. MSA stands for minimum sector altitude, an aircraft must not descend below the local MSA.\n""Plan his/her route through the warm front on the shortest way possible.""\nCorrect\n.\nThis is the most correct option available. Avoid any signs of precipitation.'), Document(page_content='When you are expecting to cross a warm front, it is recommended that you divert/orbit to wait until the front passes.'), Document(page_content='behind\nthe front, as the cold airmass wedges under and lifts the warmer air ahead of it. Cold fronts usually extend quite far south from low pressure systems.\nRed\nline\n: warm front associated with the low pressure system. Remember that the warm front is also always drawn on the warm side of the frontal zone, so a lot of the clouds appear ahead of it, as the warm air rises up slowly over the cooler air ahead of it.\nPurple\nline'), Document(page_content='Warm front is slower than a cold front. The front moves at right angles to itself at a speed equal to 2/3 of the geostrophic interval measured along the front.\nThe warm air is mostly stable, the clouds that form are mostly stratiform.\nAs the warm front approaches, we typically see this sequence of clouds: Cl, CS, AS, NS.\nCirrus CI: at FL250-350 as far as 600 NM ahead of the front.\nCirrostratus CS:\nat FL200-250 gradually replace the Cl.\nAltostratus AS\n: at FL150-200 as the front gets closer.\nNimbostratus NS'), Document(page_content='Warm front is slower than a cold front. The front moves at right angles to itself at a speed equal to 2/3 of the geostrophic interval measured along the front.\nThe warm air is mostly stable, the clouds that form are mostly stratiform.\nAs the warm front approaches, we typically see this sequence of clouds: Cl, CS, AS, NS.\nCirrus CI:\nat FL250-350 as far as 600 NM ahead of the front. •\nCirrostratus CS:\nat FL200-250 gradually replace the Cl.\nAltostratus AS\n: at FL150-200 as the front gets closer.')]",,4,1.0,False
123,1 042 hpa,1 030 hPa,0,"[{'id': 1, 'answer': '1 042 hPa'}, {'id': 2, 'answer': '996 hPa'}, {'id': 3, 'answer': '1 030 hPa'}, {'id': 4, 'answer': '1 013 hPa'}]","[Document(page_content='5 760 ft\n(2) The value for the barometric lapse rate between MSL and 700 hPa to be used is 30 ft/hPa as an acceptable approximation of the barometric lapse rate:\n5 760 ft - 5 500 ft =\n260 ft\n260 ft : 30 ft/hPa = approx. 9 hPa\nTrue Altitude is higher than Indicated Altitude, therefore, local QNH is greater than standard pressure: 1013 hPa + 9 hPa =\n1022 hPa'), Document(page_content='QNH gives the elevation of the airport from mean seal level. QFE set on the altimeter on the ground would give an indication of 0 feet.\nQNH will always be a higher value than QFE as long as the airport is above mean sea level.\nAssuming a barometric lapse rate of 27 ft/hPa:\n(1)\nQFE of 1003 hPa, elevation 1200 feet\n.\nTo calculate the QNH we have to divide 1200 by 27 ft/hPa\n44 hPa and then add this to the QFE of 1003 hPa =\n1047 hPa\n(2)\nQFE of 1000 hPa, elevation 1200 feet.'), Document(page_content='Since the QFF (actual pressure at MSL) will be higher than the QNH, when the aircraft reaches MSL, the ambient pressure will be higher than the value set on the altimeter (QNH), therefore,\nit will indicate a value less than zero.\nNote: According to the new syllabus (EASA 2020) a barometric lapse rate of 30 ft /hPa should be used (instead of 27 ft/hPa). However, if the question text indicates a different lapse rate, that is the one you are expected to use.'), Document(page_content='9\n135\n                        Altimetry 9                                                                                   Altimetry\nSo in winter, particularly if flying close to safety altitude, the effect of temperature on true \naltitude must be taken into account.\nFor all of the following questions assume that 1 hPa = 27 ft. \n1.  An aircraft is at an airfield with an elevation of 350 ft. The altimeter setting is 1002, but \nthe actual QNH is 993. What is the altimeter reading?', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 140}), Document(page_content='To determine airfield elevation, we have to calculate the difference between QNH and QFE.\nWe know that at MSL 1 hPa = 27 ft (8 m)\n1000 hPa - 980 hPa = 20 hPa\nNote that answers are given in meters and not feet.\n20 hPa x 8 m/hPa = 160 m\nNote: According to the new syllabus (EASA 2020) a barometric lapse rate of 30 ft /hPa should be used (instead of 27 ft/hPa). However, if the question text indicates a different lapse rate, that is the one you are expected to use.')]",,3,1.0,False
124,for fog below the inversion.,for wind shear just above the inversion.,0,"[{'id': 1, 'answer': 'that the performance of the engine will be reduced from inversion level down to ground.'}, {'id': 2, 'answer': 'for wind shear just above the inversion.'}, {'id': 3, 'answer': 'for fog below the inversion.'}, {'id': 4, 'answer': 'for freezing precipitation below the inversion.'}]","[Document(page_content='Inversions can also have large effects on aircraft performance, and the aircraft performance will be better below the inversion in the colder air.\nTo look at the options:\n""The possibility for a sudden reduction in visibility due to the blowing snow.""\nThe ATIS made no mention of snow.\n""A sudden degradation of braking performance on the runway.""'), Document(page_content='.\nThe question states that, at the surface, temperature is -5ºC. Since there is a temperature inversion in that area, temperature will increase with increasing altitude, reaching 0ºC at 3000 ft.\n1. As described in the question text, the rain falls from the cloud layer at 4000 ft,\nwhere the temperature is above 0ºC.'), Document(page_content='We can think of an inversion as a ""Tupperware lid"" for the atmosphere - it limits the upward movement of air from lower parts of the atmosphere (inhbits vertical mixing). Consequently, air pollutants, smoke, and dust aren\'t able to be dispersed throughout the atmosphere. This accumulation of particulates can cause reduced visibility below the inversion.\nWith regards to this question\n, as we have discussed, as we climb through an inversion, temperature increases with an increase in height =>'), Document(page_content='If an indication of a temperature inversion is given as part of an ATIS, it means that it is quite a noticeable inversion.\nInversions occur when the air gets warmer with increased altitude\n, so when warmer air is above colder air. This can happen for many reasons, due to night cooling, valley inversions, frontal activity, etc.\nAn inversion is incredibly stable, meaning that there is very little vertical movement of air through the inversion. This means that\nlittle to no mixing occurs'), Document(page_content='If an indication of a temperature inversion is given as part of an ATIS, it means that it is quite a noticeable inversion.\nInversions occur when the air gets warmer with increased altitude\n, so when warmer air is above colder air. This can happen for many reasons, due to night cooling, valley inversions, frontal activity, etc.\nAn inversion is incredibly stable, meaning that there is very little vertical movement of air through the inversion. This means that\nlittle to no mixing occurs')]",,2,3.0,False
125,"lift will most likely increase, and visibility increase","Thrust will most likely increase, and visibility decrease",0,"[{'id': 1, 'answer': 'Lift will most likely decrease, and visibility decrease'}, {'id': 2, 'answer': 'Thrust will most likely increase, and visibility decrease'}, {'id': 3, 'answer': 'Density altitude will increase, and visibility will increase'}, {'id': 4, 'answer': 'Engine performance will likely decrease, and visibility will increase'}]","[Document(page_content='Thrust and lift will decrease as the aircraft climbs into warmer and less dense air.\nAir pollutants, smoke, and dust will not disperse vertically, instead they are trapped below the inversion - resulting in a deteriorated visibility =>\nTherefore, visibility improves above the inversion.'), Document(page_content='We can think of an inversion as a ""Tupperware lid"" for the atmosphere - it limits the upward movement of air from lower parts of the atmosphere (inhbits vertical mixing). Consequently, air pollutants, smoke, and dust aren\'t able to be dispersed throughout the atmosphere. This accumulation of particulates can cause reduced visibility below the inversion.\nWith regards to this question\n, as we have discussed, as we climb through an inversion, temperature increases with an increase in height =>'), Document(page_content='Inversions can also have large effects on aircraft performance, and the aircraft performance will be better below the inversion in the colder air.\nTo look at the options:\n""The possibility for a sudden reduction in visibility due to the blowing snow.""\nThe ATIS made no mention of snow.\n""A sudden degradation of braking performance on the runway.""'), Document(page_content='Furthermore, all performance is based on density altitude and temperature is a key factor. The higher the temperature, the higher the density altitude,\nthe thinner the air and the less performance from your engines\n(and wings, etc). Since, as we climb through an inversion,\ntemperature increases with an increase in height => we will experience a decreased aircraft performance\n, leading to a decrease in thrust and lift, as we climb into warmer and less dense air.'), Document(page_content='SUMMARY: An inversion marks the boundary between layers of air having differing temperatures and to some extent density. This will result in an aircraft gaining lift, thrust and power when descending through an inversion with the reverse conditions when climbing.')]",,2,2.0,True
126,3 690 ft,3 990 ft,0,"[{'id': 1, 'answer': '2 010 ft'}, {'id': 2, 'answer': '2 310 ft'}, {'id': 3, 'answer': '3 690 ft'}, {'id': 4, 'answer': '3 990 ft'}]","[Document(page_content='When climbing through the transition altitude, the pilot will change the altimeter subscale from QNH to standard pressure setting (1013.2 hPa) so they can then fly pressure altitudes (Flight Levels) above that altitude. In this case, the\nQNH pressure is higher than standard\n, so the indicated altitude is\nhigher\nthan pressure altitude. We are therefore expecting the altimeter reading to decrease during this subscale setting procedure. We can calculate this decrease using a barometric correction.'), Document(page_content='9\n135\n                        Altimetry 9                                                                                   Altimetry\nSo in winter, particularly if flying close to safety altitude, the effect of temperature on true \naltitude must be taken into account.\nFor all of the following questions assume that 1 hPa = 27 ft. \n1.  An aircraft is at an airfield with an elevation of 350 ft. The altimeter setting is 1002, but \nthe actual QNH is 993. What is the altimeter reading?', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 140}), Document(page_content='If the QNH value is higher than the standard pressure of 1013 hPa, the altimeter reading will increase.\nIf the QNH value is lower than the standard pressure of 1013 hPa, the altimeter reading wil decrease.\nIf the local QNH is 989 hPa, the difference to standard pressure will be: 1013 hPa – 989 hPa =\n24 hPa\nAssuming a barometric lapse rate of 30 ft/hPa:\n24 hPa x 30 ft/hPa =\n720 ft\nSince our current QNH is lower than standard, the altimeter indication will decrease by 720 ft:\n19 000 ft - 720 ft = 18 280 ft'), Document(page_content='If we were to set our altimeter to the correct QNH of 983 hPa => the altimeter reading would decrease by the altitude equivalent to the difference in pressure:\n1021 hPa - 983 hPa = 38 hPa\nAssume that close to the surface: 1 hPa = 27 ft\n38 hPa x 27 ft =\n1026 ft\nWhich means, that our True Altitude = Indicated Altitude - Pressure Correction\nTA = 7500 ft - 1026 ft = 6474 ft'), Document(page_content='As the altimeter setting has been incorrectly set 10 hPa\nlower\nthan the actual QNH, the altimeter will indicate\nlower\nthan the correct airfield elevation (as it believes it is closer to the datum pressure).\n10 hPa x 30 ft per hPa =\n300 ft difference\n.\nThe altimeter indication is airfield elevation (270 ft) - 300 ft =\n-30 ft.')]",,4,3.0,False
127,freezing rain caused by the low air temperature.,The formation of CBs in the unstable air.,0,"[{'id': 1, 'answer': 'That the pressure surface at high altitudes is lower than in the surrounding air.'}, {'id': 2, 'answer': 'Clear air turbulence that is caused by the steep temperature gradient.'}, {'id': 3, 'answer': 'Freezing rain caused by the low air temperature.'}, {'id': 4, 'answer': 'The formation of CBs in the unstable air.'}]","[Document(page_content='.\nFreezing Rain can cause significant accumulations\nof clear ice.\nClear ice is the most hazardous form of airframe icing\n. The raindrops spread and freeze on contact with a cold airframe. When the supercooled drop hits the airframe, it freezes relatively slowly due to the latent heat released in the freezing process. This allows part of the drop to spread backwards before it too freezes.'), Document(page_content=""Cold-air drops, also known as cold pools, have the potential to form in various locations and during any season, but they are commonly associated with\npolar front depression systems\n.\nIt's important to note that the formation of a cut-off low and the cold pool is not directly caused by the convection of cold air in a trough with stable air.""), Document(page_content='Now, f\nreezing Rain can cause significant accumulations\nof clear ice.\nClear ice is the most hazardous form of airframe icing\n. The raindrops spread and freeze on contact with a cold airframe. When the supercooled drop hits the airframe, it freezes relatively slowly due to the latent heat released in the freezing process. This allows part of the drop to spread backwards before it too freezes.'), Document(page_content='.\nFreezing rain, or rain ice, is a very dangerous phenomenon which occurs most often underneath a warm front (within the cold sector), where relatively warm rain is falling from the warm air above, and hitting the airframe below (which is below freezing temperature). This rain then can instantly freeze onto the airframe, causing a fast build up of ice onto the aircraft surfaces. The annex above shows the location of the rain ice triangle, which is the region of danger for this phenomenon.'), Document(page_content='Ahead of a warm front, freezing rain can be encountered\n. Freezing Rain occurs when precipitation, in the form of rain, passes from a warm air mass into a relative cold air mass of an air temperature less than 0°C. The rain maintaining its liquid state in sub-zero temperatures renders it super-cooled.\nIt can cause significant accumulations of Clear Ice\n.\nClear ice is the most hazardous form of airframe icing')]",,4,3.0,False
128,"the violent interaction of different airflows, and it is encountered only in the upper tropo",The erratic movement of air in the absence of any significant visual clues is caused by bodies of air moving at very different speeds.,0,"[{'id': 1, 'answer': 'A rare phenomenon involving wind shear; It is usually found in the lower levels of the troposphere and is associated with strong inversions and thunderstorms.'}, {'id': 2, 'answer': 'The erratic movement of air in the absence of any significant visual clues is caused by bodies of air moving at very different speeds.'}, {'id': 3, 'answer': 'Principally an invisible vertical wind shear formed only when adjacent air currents have significantly different directions.'}, {'id': 4, 'answer': 'The violent interaction of different airflows, and it is encountered only in the upper troposphere around jet streams.'}]","[Document(page_content='Turbulence is caused by violent or unsteady movement of air, and describes the effect of the aircraft being jolted around in flight, often unpredictably, putting increased strain on the airframe and decreasing passenger comfort. It can be caused by\nvertical movement of air ""pockets""\n, through either convective or mechanical means, or can be caused by a sudden change in horizontal wind speed, called\nwindshear\n.\nConvective turbulence occurs due to either\ninstability in the air'), Document(page_content='CLEAR AIR TURBULENCE (CAT) is defined as sudden severe turbulence occurring in cloudless regions that causes violent buffeting of aircraft.\nThis refers to turbulence encountered outside of convective clouds - which includes turbulence within and in the vicinity of standing lenticular clouds and, in some cases,\nin clear air in the vicinity of thunderstorms.\nThunderstorm Complexes are among the common causes and sources of CAT:'), Document(page_content='.\nClear Air Turbulence (CAT)\nis defined as sudden severe turbulence occurring in\ncloudless\nregions that causes violent buffeting of aircraft. This term is commonly applied to higher altitude turbulence associated with windshear.\nCAT can be caused by the interaction of layers of air with differing wind speeds, convective currents, or obstructions to normal wind flow.'), Document(page_content='.\nClear Air Turbulence (CAT)\nis defined as sudden severe turbulence occurring in\ncloudless\nregions that causes violent buffeting of aircraft. This term is commonly applied to higher altitude turbulence associated with windshear.\nCAT can be caused by the interaction of layers of air with differing wind speeds, convective currents, or obstructions to normal wind flow.'), Document(page_content='8\n105\n                Turbulence 8                                                                     Turbulence\nIntroduction\nA dictionary definition of turbulence is a ‘disturbed state’ and so from the aviation point of \nview this would mean disturbed or rough air. There are different ways in which this turbulence \nis caused and also different parts of the atmosphere where it occurs.\nWindshear\nWindshear is the sudden change in speed and/or direction of the wind including vertical', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 110})]",,2,4.0,False
129,2 mm.,0.5 mm.,0,"[{'id': 1, 'answer': '1 mm.'}, {'id': 2, 'answer': '0.5 mm.'}, {'id': 3, 'answer': '2 mm.'}, {'id': 4, 'answer': '4 mm.'}]","[Document(page_content='.\nThe average raindrop is 2 mm in size\n. They vary from 0.5 mm to 5 mm, but raindrops larger than about 5.5 mm are rare due to them being unstable when falling (the air gets inside them and splits them up into several smaller drops).\nDRIZZLE\n(DZ)\nDiameter:\nVisibility:\nImperceptible impact.\n0.2 to 0.5 mm\n500 to 3000 m\nRAIN\n(RA)\nDiameter\n:\nVisibility:\nPerceptible impact.\n0.5 to 5.5 mm\n3000 to 5.5 km\n(1000 m in heavy rain)\nSNOW\n(SN)\nGrains/Needles:\nPellets:\nFlakes:\nDiameter <1 mm\nDiameter 2-5 mm'), Document(page_content='droplets averaging 0.02 mm \nin diameter and the rate of \nfall is negligible. By colliding \nwith other droplets they may \nincrease in size until they are \ntoo heavy to be supported \nby the upcurrents in the \ncloud and they drop out as \nprecipitation.\nThere are currently two theories governing the formation of these precipitation drops.\nFigure 13.13 Precipitation\nFigure 13.12 Effect of Inversions', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 226}), Document(page_content='DRIZZLE\nDZ\nDiameter:\nVisibility:\nImperceptible impact.\n0.2 to 0.5 mm\n500 to 3000 m\nRAIN\nRA\nDiameter:\nVisibility:\nPerceptible impact.\n0.5 to 5.5 mm\n3000 to 5.5 km\n(1000 m in heavy rain)\nSNOW\nSN\nGrains/Needles:\nPellets:\nFlakes:\nDiameter <1 mm\nDiameter 2-5 mm\nA collection of crystals greater than\n4 mm in diameter. (The lower the\ntemperature, the smaller the size.)\nHAIL\nGR\nDiameter:\nWeight:\n5 to 50 mm+\nUp to 1kg\nICE PELLETS\nPL\nTransparent pellets, spherical or irregular.\nDiameter of 5 mm or less.'), Document(page_content='DRIZZLE\nDZ\nDiameter:\nVisibility:\nImperceptible impact.\n0.2 to 0.5 mm\n500 to 3000 m\nRAIN\nRA\nDiameter\n:\nVisibility:\nPerceptible impact.\n0.5 to 5.5 mm\n3000 to 5.5 km\n(1000 m in heavy rain)\nSNOW\nSN\nGrains/Needles:\nPellets:\nFlakes:\nDiameter <1 mm\nDiameter 2-5 mm\nA collection of crystals greater than\n4 mm in diameter. (The lower the\ntemperature, the smaller the size.)\nHAIL\nGR\nDiameter:\nWeight:\n5 to 50 mm+\nUp to 1kg\nICE PELLETS\nPL\nTransparent pellets, spherical or irregular.\nDiameter <5 mm.'), Document(page_content='It is difficult to see how the above can account for summer precipitation where the whole of \nthe cloud is at a temperature above zero and the coalescence theory may provide a better \nanswer. This assumes the presence of a range of droplet sizes, the larger falling faster and \nuniting with the smaller until eventually the overweight drop falls out as drizzle or rain.\nPrecipitation Types\n• Drizzle.   Diameter:   0.2 to 0.5 mm\n,   Visibility:   500 to 3000 m\n   Imperceptible impact.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 227})]",,2,3.0,False
130,at night just above the inversion created by the cooling of the air closest to the surface in,At night just above the inversion created by the cooling of the air closest to the surface in the atmosphere,0,"[{'id': 1, 'answer': 'At night just above the inversion created by the cooling of the air closest to the surface in the atmosphere'}, {'id': 2, 'answer': 'In the middle of the eye of a TRS'}, {'id': 3, 'answer': 'Inside large Cb clouds during the dissipating stage'}, {'id': 4, 'answer': 'In very unstable atmospheres during the day when convection is strongest'}]","[Document(page_content='LOW LEVEL JET STREAMS\nA nocturnal low-level jet\nis a fast-moving air current in the lower atmosphere\nduring night time when the skies are clear\n. As air temperatures near the ground drop after sunset, an inversion layer is formed in the lower atmosphere during the night.\nA Nocturnal jet is likely to form just above the inversion.\nThe following points may be of value to forecasters in predicting the occurrence and strength of the nocturnal jet:'), Document(page_content='Note: Core of the jet stream is located in the warm air – above the level of cold air tropopause and below the warm air tropopause.'), Document(page_content='Note: Core of the jet stream is located in the warm air – above the level of cold air tropopause and below the warm air tropopause.'), Document(page_content='jet stream\nfrontal zone\nstrong low-level temperature inversion (when cold, still surface air is covered by warmer air that contains winds of 25 knots or more at 2000 to 4000 ft above the surface.'), Document(page_content='level.\nDirection and Speed\nThe direction of jet streams is generally westerly, maximum speeds occur near the tropopause, \n200 kt have been recorded in Europe/N Atlantic and 300 kt in Southeast Asia.\nClear Air Turbulence (TURB)\nClear air turbulence (TURB) occurs around the boundaries of jet streams because of the large \nhorizontal and vertical windshears.\nIt is strongest near to, or just below, the jet axis on the cold air (low pressure) side with a \nsecondary area above the axis.\nMovement', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 188})]",,1,1.0,True
131,030° / 20 kts,340° / 20 kts,0,"[{'id': 1, 'answer': '030° / 28 kts'}, {'id': 2, 'answer': '340° / 28 kts'}, {'id': 3, 'answer': '030° / 20 kts'}, {'id': 4, 'answer': '340° / 20 kts'}]","[Document(page_content='18 kt.\nFurthermore, the direction is expected to be 30º different. As mentioned above, the surface wind is backed by this amount in the Northern Hemisphere, which means that the ""2000 ft"" wind is veered by 30º from the surface wind. Veering is an increase in the direction number, and backing is a decrease. Therefore,\nthe ""2000 ft wind"" (free stream wind) would be coming from approximately 250 + 30 =\n280\n°\nThe correct answer is\n280\n°\n/18 kt'), Document(page_content='We are in the NH near the ground and have a wind blowing from 190 at 15 knots. Looking at the above we know the surface wind backs in direction and decrease in strength. So, if we go up in altitude, we can expect the wind to veer about 30 degrees and the speed to double. Answer is 220/30KT.'), Document(page_content='.\nGEOSTROPHIC WIND - the pressure gradient force is equal to the Coriolis force. Which means that the effect of latitude must be accounted for.\nNotice that the same spacing between isobars at high latitude gives a slower wind speed when compared to lower latitude.\nWithin 5º of the equator, the CF is close to zero.\nWithin 15º of the equator, the CF is very small, so the geostrophic wind formula is no longer valid\nGeostrophic wind: V = PGF ÷ (\n2 Ω\nρ\nsin\nα ), where:\nΩ\nρ\nV\nα\n= angular rotation of the earth'), Document(page_content='.\nGEOSTROPHIC WIND - the pressure gradient force is equal to the Coriolis force. Which means that the effect of latitude must be accounted for.\nNotice that the same spacing between isobars at high latitude gives a slower wind speed when compared to lower latitude.\nWithin 5º of the equator, the CF is close to zero.\nWithin 15º of the equator, the CF is very small, so the geostrophic wind formula is no longer valid\nGeostrophic wind: V = PGF ÷ (\n2 Ω\nρ\nsin\nα ), where:\nΩ\nρ\nV\nα\n= angular rotation of the earth'), Document(page_content='GEOSTROPHIC WIND - the pressure gradient force is equal to the Coriolis force. Which means that the effect of latitude must be accounted for.\nNotice that the same spacing between isobars at high latitude gives a slower wind speed when compared to lower latitude.\nWithin 5º of the equator, the CF is close to zero.\nWithin 15º of the equator, the CF is very small, so the geostrophic wind formula is no longer valid\nGeostrophic wind: V = PGF ÷ (\n2 Ω\nρ\nsin\nα ), where:\nΩ\nρ\nV\nα\n= angular rotation of the earth')]",,4,3.0,False
132,terrestrial radiation on a calm clear night.,terrestrial radiation on a calm clear night.,1,"[{'id': 1, 'answer': 'compression causing the release of latent heat in a layer of stratiform cloud.'}, {'id': 2, 'answer': 'terrestrial radiation on a calm clear night.'}, {'id': 3, 'answer': 'an unstable air mass causing convection currents and mixing of the atmosphere at lower levels.'}, {'id': 4, 'answer': 'gusting winds increasing surface friction during the day with consequent mixing at the lower levels.'}]","[Document(page_content='An inversion in the atmosphere is where temperature rises with an increase in height. This produces extreme stability\nThere are four kinds of inversions: ground, turbulence, subsidence, and frontal.\nGROUND INVERSION\n- develops when air is cooled by contact with a colder surface until it becomes cooler than the overlying atmosphere\n; this occurs most often on clear nights, when the ground cools off rapidly by radiation.\nIf the temperature of surface air drops below its dew point, fog may result.'), Document(page_content='.\nOn a night of clear skies with calm or light surface wind, a temperature inversion can form due to surface cooling - which can lead to windshear. Temperature inversion is defined as a condition where the temperature increases with an increase in altitude.\nStrong inversions are known to happen in\ndesert\nareas, such as Saudi Arabia, where the surface will heat up quickly during the day and cool off rapidly at night.'), Document(page_content='.\nOn a night of clear skies with calm or light surface wind, a temperature inversion can form due to surface cooling -\nwhich can lead to windshear\n.\nTemperature inversion is defined as a condition where the temperature increases with an increase in altitude.\nStrong inversions are known to happen in desert areas, such as Saudi Arabia, where the surface will heat up quickly during the day and cool off rapidly at night.'), Document(page_content='.\nRadiation inversion\ndevelops during\ncold winter nights with clear skies\nand calm or very light winds. Radiation inversions usually happen in places where it cools off a lot at night comparatively. During the night, the ground cools off, radiating the heat to the sky hence hotter air is kept above the cold air and normal temperature profile in that area will get inverted with the increasing height. Hence, an inversion is formed. It is because of radiation inversions that there is fog in the morning.'), Document(page_content='warming. (Note: the global warming phenomenon is much more complex than this.)\nFigure 7.6.  Terrestrial Radiation .Figure 5.6 Terrestrial Radiation\n•  Conduction. Air lying in contact with the earth’s surface by day will be heated by conduction . \nAt night air in contact with the earth’s surface will be cooled by conduction. Because of the \nair’s poor conductivity, the air at a higher level will remain at the same temperature as \nduring the day and an inversion  will result.', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 65})]",,2,2.0,True
133,approximately 1 770 ft,Approximately 1 420 ft,0,"[{'id': 1, 'answer': 'Approximately 2 420 ft'}, {'id': 2, 'answer': 'Approximately 1 770 ft'}, {'id': 3, 'answer': 'Approximately 1 240 ft'}, {'id': 4, 'answer': 'Approximately 1 420 ft'}]","[Document(page_content='.\nThis question gives us a true altitude and is asking for the\nindicated altitude\n(the altitude our altimeter shows when the correct QNH is set).\nThe aircraft must fly at 5 920 ft\n(*obstacle elevation + terrain clearance).\nThis\naltitude must be the true altitude of the aircraft. This altitude must be corrected for the temperature ISA deviation to get the indicated altitude.'), Document(page_content='To calculate the terrain clearance, we must determine the aircraft’s true altitude.\nIf the QNH value is higher than the standard pressure of 1013 hPa, the altimeter reading will increase.\nIf the QNH value is lower than the standard pressure of 1013 hPa, the altimeter reading wil decrease.\nIf the local QNH is 998 hPa, the difference to standard pressure will be: 1013 hPa – 998 hPa =\n15\nhPa\nAssuming a barometric lapse rate of 30 ft/hPa:\n30 ft/hPa x 15 hPa =\n450 ft'), Document(page_content='the temperature correction may be disregarded.\nNext, we need to calculate the elevation of the aerodrome: QNH - QFE = 983 hPa - 958 hPa = 25 hPa\nThe question provides a barometric lapse rate near the surface of 27 ft/hPa:\n25 hPa x 27 ft/hPa = 675 ft airfield elevation\nThe true height of the aeroplane below the aerodrome = 4 190 ft – 675 ft =\n3 515 ft\nbelow the ground of the aerodrome.\nRULES.\nThe following rules should be considered for altimetry calculations:'), Document(page_content='QNH gives the elevation of the airport from mean seal level. QFE set on the altimeter on the ground would give an indication of 0 feet.\nQNH will always be a higher value than QFE as long as the airport is above mean sea level.\nAssuming a barometric lapse rate of 27 ft/hPa:\n(1)\nQFE of 1003 hPa, elevation 1200 feet\n.\nTo calculate the QNH we have to divide 1200 by 27 ft/hPa\n44 hPa and then add this to the QFE of 1003 hPa =\n1047 hPa\n(2)\nQFE of 1000 hPa, elevation 1200 feet.'), Document(page_content='For example:\nA flight is planned at FL180 over Mont Blanc (elevation 15 782 ft).  The mean sea level pressure \nis 983 hPa, from an aerodrome at mean sea level, and the temperature of the air up to the \nsummit is 25°C colder than ISA.  Determine the true altitude of the aircraft at Mont Blanc and \nhence the terrain clearance. Figure 9.10 .\nFigure 9.10', metadata={'source': '/home/shsingh/knowledge_distillation/bliq/ref_books/vdoc.pub_cae-oxford-aviation-academy-atpl-book-9-meteorology.pdf', 'page': 138})]",,4,2.0,False
134,2 063 ft,2 095 ft,0,"[{'id': 1, 'answer': '1 934 ft'}, {'id': 2, 'answer': '2 095 ft'}, {'id': 3, 'answer': '2 063 ft'}, {'id': 4, 'answer': '1 808 ft'}]","[Document(page_content='. The given information specifies the height at the QFE setting, and the question is asking for the true height. As per the given question, the aircraft is currently flying at an height of 2 000 ft (while the altimeter subscale is set to airfield QFE). This setting indicates that the aircraft is 2 000 ft above the elevation of the airfield.'), Document(page_content=""The aircraft departs from A with its altimeter set on local QNH of 1021 hPa. The flight is performed maintaining a constant\nIndicated Altitude of 7 500 ft based on Point A's QNH of 1021 hPa\n(and that is all we need from Point A - elevation is irrelevant).\nIn order to find out our height above the surface, we must calculate our True Altitude. Think of it this way:""), Document(page_content='The elevation at B is 1650 ft and the True Altitude of the aircraft is 6474 ft => which means that the aircraft height above the surface at B = 6474 ft - 1650 ft =\n4824 ft\nNote: If QNH is higher than altimeter setting => True Altitude is higher than Indicater Altitude.\nIf QNH is lower than altimeter setting => True Altitude is lower than Indicated Altitude.\nAlternatively, you can think of it this way:'), Document(page_content=""The aircraft departs from A with its altimeter set on local QNH of 1012 hPa. The flight is performed maintaining a constant\nIndicated Altitude of 6 500 ft based on Point A's QNH of 1012 hPa\n(and that is all we need from Point A - elevation is irrelevant).\nIn order to find out our height above the surface, we must calculate our True Altitude. Think of it this way:""), Document(page_content=""OAT is measured at the aircraft and that the QNH was measured at sea level\n. These are not always the case, and were ambiguous in our feedback.\nThe aircraft's indicated altitude is 4500ft. We know that the\ntrue altitude\nof the highest obstacle is 3120 ft. We must therefore calculate the aircraft's true altitude from the indicated altitude, which is a simple matter of a temperature correction."")]",,2,3.0,False
