question,answers,correct_answer,explanation,explanationImageHtml,id,clean_explanation
How does ATIS broadcasts differ from VOLMET?,"[{'id': 1, 'answer': 'The wind directions are given in magnetic and they may contain aerodrome information in addition to weather information.'}, {'id': 2, 'answer': 'They are broadcast centrally from National Meteorological Centres.'}, {'id': 3, 'answer': 'They are based on Met Office forecasts for the next two hours.'}, {'id': 4, 'answer': 'They are updated every 30 minutes.'}]",The wind directions are given in magnetic and they may contain aerodrome information in addition to weather information.,"Automatic terminal information service (ATIS)
is the automatic provision of current, routine information to arriving and departing aircraft throughout 24 hours or a specified portion thereof. It is the same information which would be given by the ATC controller over the radio.
The wind direction broadcasted by the ATIS and ATC is given in degrees magnetic
. Apart from the latest weather, the ATIS will include information such as runway in use, availability of navigational aids, any relevant local information and NOTAMs.
Note: METAR - wind direction is reported in degrees true.",,80598,"Automatic terminal information service (ATIS)
is the automatic provision of current, routine information to arriving and departing aircraft throughout 24 hours or a specified portion thereof. It is the same information which would be given by the ATC controller over the radio.
The wind direction broadcasted by the ATIS and ATC is given in degrees magnetic
. Apart from the latest weather, the ATIS will include information such as runway in use, availability of navigational aids, any relevant local information and NOTAMs.
Note: METAR - wind direction is reported in degrees true."
What weather conditions in the region of the Alps would you expect with Foehn from south?,"[{'id': 1, 'answer': 'Heavy airframe icing conditions on the northern side of the Alps'}, {'id': 2, 'answer': 'Heavy clear air turbulence on the southern side of the Alps'}, {'id': 3, 'answer': 'Clouds, on the southern sides of passes in the Alps'}, {'id': 4, 'answer': 'Strong north winds on the southern side of the Alps'}]","Clouds, on the southern sides of passes in the Alps","Refer to figure.
FOEHN EFFECT
Foehn winds are warm and dry, gusty winds that periodically descends the leeward slopes of nearly all mountains and mountain ranges (warm katabatic wind). This is a change from wet and cold conditions one side of a mountain, to warmer and drier conditions on the other (leeward) side.
- How does it form?
When air is forced upwards over elevated terrain (upwind side of the mountain, in this case, the south), it expands and cools adiabatically (at the DALR) until it saturates.
After saturation, it will continue to cool at the SALR. Since colder air can hold less water vapour, moisture condenses to form clouds and precipitates as rain/snow above the mountain’s upwind slopes
. By the time it reaches the peak and stops climbing, the air is quite dry.
As the air makes its leeward descent, it is compressed and warms rapidly all the way downslope – because there is little water left to evaporate. Thus, the air is warmer and drier when it reaches the leeward slope than when it begins its windward ascent.
On the windward side we can expect low cloud and precipitation whilst on the leeward side we will see clear turbulent conditions.
With regards to this question
,
with a south wind - the south side is the upwind side => where the air is forced up the mountains, cooling down and condensing - forming clouds.
The north side is the leeward/downwind side, where air descends and becomes drier and warmer => little or no precipitation is expected.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer31756""> <a href=""/ImageViewer/index?image=A57BC9B8-71AC-414E-9F50-E457781F7073&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/A57BC9B8-71AC-414E-9F50-E457781F7073"" alt=""thumb_720_Foehn_EFFECT.png"" /> </a> </div></div>",72087,".
FOEHN EFFECT
Foehn winds are warm and dry, gusty winds that periodically descends the leeward slopes of nearly all mountains and mountain ranges (warm katabatic wind). This is a change from wet and cold conditions one side of a mountain, to warmer and drier conditions on the other (leeward) side.
- How does it form?
When air is forced upwards over elevated terrain (upwind side of the mountain, in this case, the south), it expands and cools adiabatically (at the DALR) until it saturates.
After saturation, it will continue to cool at the SALR. Since colder air can hold less water vapour, moisture condenses to form clouds and precipitates as rain/snow above the mountain’s upwind slopes
. By the time it reaches the peak and stops climbing, the air is quite dry.
As the air makes its leeward descent, it is compressed and warms rapidly all the way downslope – because there is little water left to evaporate. Thus, the air is warmer and drier when it reaches the leeward slope than when it begins its windward ascent.
On the windward side we can expect low cloud and precipitation whilst on the leeward side we will see clear turbulent conditions.
With regards to this question
,
with a south wind - the south side is the upwind side => where the air is forced up the mountains, cooling down and condensing - forming clouds.
The north side is the leeward/downwind side, where air descends and becomes drier and warmer => little or no precipitation is expected."
Which of the following options correctly describes the difference between radiation fog and advection fog?,"[{'id': 1, 'answer': 'Radiation fog forms due to surface cooling at night in a light wind. Advection fog forms when warm humid air flows over a cold surface.'}, {'id': 2, 'answer': 'Radiation fog is formed by surface cooling in a calm wind. Advection fog is formed by evaporation over the sea.'}, {'id': 3, 'answer': 'Radiation fog forms due to night cooling and advection fog due to daytime cooling.'}, {'id': 4, 'answer': 'Radiation fog forms only on the ground, advection fog only on the sea.'}]",Radiation fog forms due to surface cooling at night in a light wind. Advection fog forms when warm humid air flows over a cold surface.,"Refer to figure.
RADIATION FOG
.
Caused by radiation of the earth’s heat at night, and the conductive cooling
below dew point of the air in contact with the ground, in conditions of calm or
very light wind
and clear skies
.
Radiation fog occurs at night and early morning and usually does not last long after sunrise (about 30 minutes). Predominantly autumn and winter.
ADVECTION FOG
. Is formed by the
advection of warm, moist air over a cold surface
– the air mass is cooled from below giving rise to an inversion. A common example of this is when a warm front passes over an area with snow cover.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer41993""> <a href=""/ImageViewer/index?image=51E36A39-1EB2-4492-B256-14F235BD1E73&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/51E36A39-1EB2-4492-B256-14F235BD1E73"" alt=""thumb_352_adv.png"" /> </a> </div><div class=""fl tc mr20"" id=""annexContainer41994""> <a href=""/ImageViewer/index?image=C6F952D1-BF22-41E5-8A15-DE2A77EC627A&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/C6F952D1-BF22-41E5-8A15-DE2A77EC627A"" alt=""thumb_462_rad.png"" /> </a> </div></div>",80589,".
RADIATION FOG
.
Caused by radiation of the earth’s heat at night, and the conductive cooling
below dew point of the air in contact with the ground, in conditions of calm or
very light wind
and clear skies
.
Radiation fog occurs at night and early morning and usually does not last long after sunrise (about 30 minutes). Predominantly autumn and winter.
ADVECTION FOG
. Is formed by the
advection of warm, moist air over a cold surface
– the air mass is cooled from below giving rise to an inversion. A common example of this is when a warm front passes over an area with snow cover."
What are the typical differences with regard to the temperature and humidity between an air mass with its origin in the Azores and an air mass with its origin over northern Russia?,"[{'id': 1, 'answer': 'The North-Russian air is colder and more humid than the air of the Azores.'}, {'id': 2, 'answer': 'The air of the Azores is warmer and dryer than the North-Russian air.'}, {'id': 3, 'answer': 'The air of the Azores is warmer and more humid than the North-Russian air.'}, {'id': 4, 'answer': 'The North-Russian air is warmer and dryer than the air of the Azores.'}]",The air of the Azores is warmer and more humid than the North-Russian air.,"Refer to figures.
Air masses are classified according to moisture content, source or type and temperature using a 3-letter system:
First letter - moisture content:
Continental (c)
Maritime (m)
Second letter - source region or type (latitude/temperature):
Equatorial. (E)
Tropical. (T)
Polar. (P)
Arctic. (A)
Third letter: temperature, c(old) or w(arm)
Hence the 5 air masses aﬀecting Europe are:
AIR MASS
SOURCE
CHARACTERISTICS
Arctic maritime, mAc
Polar ice cap. Only experienced during NH winter
stable very cold and dry.
Polar maritime, mPc
Northwest area of North Atlantic
stable, cold, absolute humidity low, relative humidity high
POLAR CONTINENTAL, cPc
Siberia (winter only) northern Russia
Stable,
very cold and dry.
it is typically colder than the Arctic maritime air
TROPICAL MARITIME, mTw
The Azores anticyclone
Warm
, stable, absolute
humidity high
, RH high.
Tropical continental, cTw
N Africa/SE Europe
warm, dry, stable.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer29963""> <a href=""/ImageViewer/index?image=A976AD20-27C0-4265-9412-10D67CAF9AE1&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/A976AD20-27C0-4265-9412-10D67CAF9AE1"" alt=""thumb_715_505960(1).png"" /> </a> </div><div class=""fl tc mr20"" id=""annexContainer29964""> <a href=""/ImageViewer/index?image=6F7F9A30-D58D-4EAD-A81E-3349B54704C2&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/6F7F9A30-D58D-4EAD-A81E-3349B54704C2"" alt=""thumb_840_505960.png"" /> </a> </div></div>",71998,"s.
Air masses are classified according to moisture content, source or type and temperature using a 3-letter system:
First letter - moisture content:
Continental (c)
Maritime (m)
Second letter - source region or type (latitude/temperature):
Equatorial. (E)
Tropical. (T)
Polar. (P)
Arctic. (A)
Third letter: temperature, c(old) or w(arm)
Hence the 5 air masses aﬀecting Europe are:
AIR MASS
SOURCE
CHARACTERISTICS
Arctic maritime, mAc
Polar ice cap. Only experienced during NH winter
stable very cold and dry.
Polar maritime, mPc
Northwest area of North Atlantic
stable, cold, absolute humidity low, relative humidity high
POLAR CONTINENTAL, cPc
Siberia (winter only) northern Russia
Stable,
very cold and dry.
it is typically colder than the Arctic maritime air
TROPICAL MARITIME, mTw
The Azores anticyclone
Warm
, stable, absolute
humidity high
, RH high.
Tropical continental, cTw
N Africa/SE Europe
warm, dry, stable."
"You intend to carry out a VFR flight over the Alps, on a fine and hot summer day. What is the best time of day to conduct this flight?","[{'id': 1, 'answer': 'Morning.'}, {'id': 2, 'answer': 'Midday.'}, {'id': 3, 'answer': 'Early evening.'}, {'id': 4, 'answer': 'Afternoon.'}]",Morning.,"Refer to figure.
Let's keep it simple, as the day wears on, it starts to get warmer and sunny. Air that is heated at the Earth’s surface will expand, become less dense and rise. This process of thermal convection will carry heat higher into the atmosphere and give rise to vertical air currents.
Convection currents will give turbulence
. Therefore, it is better to plan your flight in the morning, before the onset of any severe thermic activity which could be potentially dangerous.
Furthermore, the greatest likelihood for thunderstorms development due to warm updrafts is particularly during the afternoon, when the soil is particularly warm by radiations => and when a Cumulonimbus clouds is forced up against a mountain side, its intensity increases and so do the hazards associated with such cloud formations.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer31926""> <a href=""/ImageViewer/index?image=8DF95032-4D92-40BF-BBC3-8AF34E25F2C0&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/8DF95032-4D92-40BF-BBC3-8AF34E25F2C0"" alt=""thumb_33_conv_rad_cond-NWS-5726a3205f9b589e34f99dcd.png"" /> </a> </div></div>",72052,".
Let's keep it simple, as the day wears on, it starts to get warmer and sunny. Air that is heated at the Earth’s surface will expand, become less dense and rise. This process of thermal convection will carry heat higher into the atmosphere and give rise to vertical air currents.
Convection currents will give turbulence
. Therefore, it is better to plan your flight in the morning, before the onset of any severe thermic activity which could be potentially dangerous.
Furthermore, the greatest likelihood for thunderstorms development due to warm updrafts is particularly during the afternoon, when the soil is particularly warm by radiations => and when a Cumulonimbus clouds is forced up against a mountain side, its intensity increases and so do the hazards associated with such cloud formations."
"An aircraft is flying over a mountain range, with a maximum elevation of 4 920 ft AMSL. What is the minimum altitude required to maintain terrain clearance by 1000 ft, assuming that the correct QNH is set on the altimeter and the outside air temperature is ISA -10ºC?","[{'id': 1, 'answer': '5 680 ft'}, {'id': 2, 'answer': '6 160 ft'}, {'id': 3, 'answer': '5 920 ft'}, {'id': 4, 'answer': '6 400 ft'}]",6 160 ft,"Refer to figure.
This question gives us a true altitude and is asking for the
indicated altitude
(the altitude our altimeter shows when the correct QNH is set).
The aircraft must fly at 5 920 ft
(*obstacle elevation + terrain clearance).
This
altitude must be the true altitude of the aircraft. This altitude must be corrected for the temperature ISA deviation to get the indicated altitude.
The ISA deviation is ISA -10ºC. Based on the 4% rule and its calculation mentioned in the rules below, the height correction for the temperature can be calculated as follows: Height correction for temperature = 4 × (10) × (5920/1000) =
236.8
ft.
The temperature correction is added to the true altitude as per the rules below, to give an indicated altitude of ­­­­­
6156.8 ft
. Closest answer
6 160 ft
.
RULES.
The following rules should be considered for altimetry calculations:
All calculations are based on rounded pressure values to the nearest lower hPa.
The value for the barometric lapse rate between MSL and 500 hPa to be used is 30 ft/hPa as an acceptable approximation of the barometric lapse rate.
To determine the true altitude/height, the following rule of thumb, called the ‘4 %-rule’, shall be used: the altitude/height changes by 4% for each 10°C temperature deviation from ISA.
For simplification:
Height correction for the temp = 4 × (
ISA DEV
) ×
Indicated alt/1000
=
___ ft
If no further information is given, the deviation of the outside-air temperature from ISA is considered to be the same throughout the whole layer.
The elevation of the aerodrome has to be taken into account. The temperature correction has to be considered for the layer between the station (usually an aerodrome) and the position of the aircraft.
HIGHER PRESSURE; INDICATED ALTITUDE > PRESSURE ALTITUDE
LOWER PRESSURE; INDICATED ALTITUDE < PRESSURE ALTITUDE
WARMER THAN ISA; TRUE ALTITUDE > INDICATED ALTITUDE
COLDER THAN ISA; TRUE ALTITUDE < INDICATED ALTITUDE
Definitions
Pressure Altitude: The altimeter indication with standard pressure (1013.2 hPa) set.
Indicated Altitude: The altimeter indication with local QNH set.
True altitude: The actual altitude of the aircraft above mean sea level.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer56375""> <a href=""/ImageViewer/index?image=dc167c23-cb2a-44ab-8016-d0d0c8e88c63&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/dc167c23-cb2a-44ab-8016-d0d0c8e88c63"" alt=""thumb_202308091346_PIT-PT-branded.jpg"" /> </a> </div></div>",100144,".
This question gives us a true altitude and is asking for the
indicated altitude
(the altitude our altimeter shows when the correct QNH is set).
The aircraft must fly at 5 920 ft
(*obstacle elevation + terrain clearance).
This
altitude must be the true altitude of the aircraft. This altitude must be corrected for the temperature ISA deviation to get the indicated altitude.
The ISA deviation is ISA -10ºC. Based on the 4% rule and its calculation mentioned in the rules below, the height correction for the temperature can be calculated as follows: Height correction for temperature = 4 × (10) × (5920/1000) =
236.8
ft.
The temperature correction is added to the true altitude as per the rules below, to give an indicated altitude of ­­­­­
6156.8 ft
. Closest answer
6 160 ft
.
RULES.
The following rules should be considered for altimetry calculations:
All calculations are based on rounded pressure values to the nearest lower hPa.
The value for the barometric lapse rate between MSL and 500 hPa to be used is 30 ft/hPa as an acceptable approximation of the barometric lapse rate.
To determine the true altitude/height, the following rule of thumb, called the ‘4 %-rule’, shall be used: the altitude/height changes by 4% for each 10°C temperature deviation from ISA.
For simplification:
Height correction for the temp = 4 × (
ISA DEV
) ×
Indicated alt/1000
=
___ ft
If no further information is given, the deviation of the outside-air temperature from ISA is considered to be the same throughout the whole layer.
The elevation of the aerodrome has to be taken into account. The temperature correction has to be considered for the layer between the station (usually an aerodrome) and the position of the aircraft.
HIGHER PRESSURE; INDICATED ALTITUDE > PRESSURE ALTITUDE
LOWER PRESSURE; INDICATED ALTITUDE < PRESSURE ALTITUDE
WARMER THAN ISA; TRUE ALTITUDE > INDICATED ALTITUDE
COLDER THAN ISA; TRUE ALTITUDE < INDICATED ALTITUDE
Definitions
Pressure Altitude: The altimeter indication with standard pressure (1013.2 hPa) set.
Indicated Altitude: The altimeter indication with local QNH set.
True altitude: The actual altitude of the aircraft above mean sea level."
"When there is a convergence aloft, what can you expect at the surface?","[{'id': 1, 'answer': 'An anticyclone.'}, {'id': 2, 'answer': 'A cold air pool.'}, {'id': 3, 'answer': 'A depression.'}, {'id': 4, 'answer': 'An occlusion.'}]",An anticyclone.,"Refer to figure.
Within an anticyclone,
at high altitude we have air converging
, then descent of air within the anticyclone (subsidence) and divergence at the surface.
Typical weather in an area under the influence of a High-Pressure is clear skies due to the sinking motion of air (subsidence), lighter winds than around a Depression and reduced chance of precipitation.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer42150""> <a href=""/ImageViewer/index?image=C52999AA-D0CA-437C-9085-DEB7073F6948&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/C52999AA-D0CA-437C-9085-DEB7073F6948"" alt=""thumb_606_621_260_501774.PNG"" /> </a> </div></div>",80942,".
Within an anticyclone,
at high altitude we have air converging
, then descent of air within the anticyclone (subsidence) and divergence at the surface.
Typical weather in an area under the influence of a High-Pressure is clear skies due to the sinking motion of air (subsidence), lighter winds than around a Depression and reduced chance of precipitation."
Which types of clouds are typical evidence of stable air conditions?,"[{'id': 1, 'answer': 'CB, CC'}, {'id': 2, 'answer': 'ST, AS'}, {'id': 3, 'answer': 'CU, CB'}, {'id': 4, 'answer': 'NS, CU'}]","ST, AS","Refer to figure.
Clouds are formed by air being lifted and cooled adiabatically => until the condensation level, where saturation is reached, and water vapour condenses and clouds form.
- The type of clouds which will be formed depends on the type of air mass:
stable
(
layer type
of clouds will form - STRATIFORM) - great horizontal extension, little vertical development:
ST
, SC,
AS
, NS, CI, CS.
unstable
(
heap type
of clouds - CUMULIFORM) - extensive vertical extension: CU, TCU, CB, AC, CC.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer31809""> <a href=""/ImageViewer/index?image=C8B98A37-970A-4EC8-A010-5AA1C01FEFDC&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/C8B98A37-970A-4EC8-A010-5AA1C01FEFDC"" alt=""thumb_881_15_ESTA (1).png"" /> </a> </div></div>",72173,".
Clouds are formed by air being lifted and cooled adiabatically => until the condensation level, where saturation is reached, and water vapour condenses and clouds form.
- The type of clouds which will be formed depends on the type of air mass:
stable
(
layer type
of clouds will form - STRATIFORM) - great horizontal extension, little vertical development:
ST
, SC,
AS
, NS, CI, CS.
unstable
(
heap type
of clouds - CUMULIFORM) - extensive vertical extension: CU, TCU, CB, AC, CC."
The height of the friction layer is the largest under the following conditions:,"[{'id': 1, 'answer': 'Rough terrain, high wind speed, unstable air, during a warm summer afternoon.'}, {'id': 2, 'answer': 'Rough terrain, high wind speed, unstable air, during a warm summer morning.'}, {'id': 3, 'answer': 'Flat terrain, low wind speed, unstable air, during a warm summer afternoon.'}, {'id': 4, 'answer': 'Flat terrain, high wind speed, stable air, during a warm summer morning.'}]","Rough terrain, high wind speed, unstable air, during a warm summer afternoon.","The
friction layer
is the lower part of the atmosphere extending from the surface to, in average, 2000 - 3000 ft above the surface.
Its depth can vary and is dependent on:
The
roughness of the terrain
/type of surface. The rougher the surface the greater the mixing and the strength of the vertical deﬂection. Hence, the thicker the friction layer.
The
wind speed
. The higher the speed the greater will be the mixing and deflection.
The
stability of the air
. Stable conditions will resist vertical movement/less mixing. Hence, limit the depth.
The
time of the day
. Warm afternoons => thermal convection – more greater mixing – unstable air. Hence, thicker friction layer. At night, the air is normally more stable limiting the friction layer depth.",,80935,"The
friction layer
is the lower part of the atmosphere extending from the surface to, in average, 2000 - 3000 ft above the surface.
Its depth can vary and is dependent on:
The
roughness of the terrain
/type of surface. The rougher the surface the greater the mixing and the strength of the vertical deﬂection. Hence, the thicker the friction layer.
The
wind speed
. The higher the speed the greater will be the mixing and deflection.
The
stability of the air
. Stable conditions will resist vertical movement/less mixing. Hence, limit the depth.
The
time of the day
. Warm afternoons => thermal convection – more greater mixing – unstable air. Hence, thicker friction layer. At night, the air is normally more stable limiting the friction layer depth."
"At high altitudes, the presence of water in the form of ice crystals can pose what potential hazards, if any, to an aircraft?","[{'id': 1, 'answer': 'Ice crystals do not present a hazard to aircraft since they do NOT adhere to the airframe surfaces.'}, {'id': 2, 'answer': 'The ice crystals can accumulate on antenna systems and affect the transmission and reception of communication and navigation signals.'}, {'id': 3, 'answer': ""The crystals can accumulate on the wing's leading edge, changing the airflow over it and increasing the weight.""}, {'id': 4, 'answer': 'The crystals can accumulate on forward-facing parts of the engine and partially melt as they pass through the engine core, causing damage.'}]","The crystals can accumulate on forward-facing parts of the engine and partially melt as they pass through the engine core, causing damage.","Refer to figure.
Ice crystal icing
(ICI) condition refers to aircraft experiencing icing inflight in high altitude due to high concentration of small ice crystals. At very low temperatures, the water vapour turns directly into solid ice crystals by deposition (often referred to as ""sublimation"" in meteorology).
In many incidents, a recurring pattern involves the initial
accumulation and formation of ice crystals on relatively warmer surfaces near the front of an engine
. Subsequently, these crystals detach and
partially melt as they pass through the engine core
. This process can lead to uncommanded thrust reduction and potentially
cause engine damage
. An indication that a significant encounter with ice crystal icing (ICI) is occurring is typically observed through a gradual decrease in engine rpm and a simultaneous increase in Exhaust Gas Temperature (EGT).
To mitigate the risk of encountering high concentrations of very small ice crystals, it is advisable to effectively utilize the aircraft weather radar. This entails using the radar to identify significant convective activity below the flight path and ensuring that those areas are avoided.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer55228""> <a href=""/ImageViewer/index?image=4f5a7bc7-e6b9-4cea-8703-67f37ef5ee07&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/4f5a7bc7-e6b9-4cea-8703-67f37ef5ee07"" alt=""thumb_202306082159_146_51_636_509271-1.png"" /> </a> </div></div>",96239,".
Ice crystal icing
(ICI) condition refers to aircraft experiencing icing inflight in high altitude due to high concentration of small ice crystals. At very low temperatures, the water vapour turns directly into solid ice crystals by deposition (often referred to as ""sublimation"" in meteorology).
In many incidents, a recurring pattern involves the initial
accumulation and formation of ice crystals on relatively warmer surfaces near the front of an engine
. Subsequently, these crystals detach and
partially melt as they pass through the engine core
. This process can lead to uncommanded thrust reduction and potentially
cause engine damage
. An indication that a significant encounter with ice crystal icing (ICI) is occurring is typically observed through a gradual decrease in engine rpm and a simultaneous increase in Exhaust Gas Temperature (EGT).
To mitigate the risk of encountering high concentrations of very small ice crystals, it is advisable to effectively utilize the aircraft weather radar. This entails using the radar to identify significant convective activity below the flight path and ensuring that those areas are avoided."
Which constant pressure chart is standard for FL 240?,"[{'id': 1, 'answer': '300 hPa'}, {'id': 2, 'answer': '400 hPa'}, {'id': 3, 'answer': '600 hPa'}, {'id': 4, 'answer': '500 hPa'}]",400 hPa,"For high-level flights, the charts cover the vertical area between FL50 to FL450 and are typically issued for the following specific FLs in Europe: 50,100,180, 240, 300, 340, 390 and 450. For low-level flights, the charts are issued typically for the following altitudes: 2000 ft, 5000 ft and 10000 ft. For the high-level charts, each FL corresponds to a specific pressure surface (pressure value):
FL50 = 850 hPa
FL100 = 700 hPa
FL140 = 600 hPa
FL180 = 500 hPa
FL240 = 400 hPa
FL300 = 300 hPa
FL340 = 250 hPa
FL390 = 200 hPa
FL450 = 150 hPa",,72404,"For high-level flights, the charts cover the vertical area between FL50 to FL450 and are typically issued for the following specific FLs in Europe: 50,100,180, 240, 300, 340, 390 and 450. For low-level flights, the charts are issued typically for the following altitudes: 2000 ft, 5000 ft and 10000 ft. For the high-level charts, each FL corresponds to a specific pressure surface (pressure value):
FL50 = 850 hPa
FL100 = 700 hPa
FL140 = 600 hPa
FL180 = 500 hPa
FL240 = 400 hPa
FL300 = 300 hPa
FL340 = 250 hPa
FL390 = 200 hPa
FL450 = 150 hPa"
"In a mountainous area, the most hazardous flying conditions associated with standing waves are likely to be experienced:","[{'id': 1, 'answer': 'in the vicinity of the ""roll"" cloud or rotor zone beneath the first wave on the leeward side.'}, {'id': 2, 'answer': 'between the troughs of the waves particularly 30 NM to 50 NM downwind and close to the tropopause.'}, {'id': 3, 'answer': 'just above the lenticular cloud on the windward side.'}, {'id': 4, 'answer': 'on the windward side of the mountain just above the ""cap"" cloud.'}]","in the vicinity of the ""roll"" cloud or rotor zone beneath the first wave on the leeward side.","Refer to figure.
MOUNTAIN/LEE WAVES develop on the lee, or downwind, side of mountains.
The most severe turbulence associated with Mountain waves can occur in the Rotor Zone
, lying beneath the crests of lee waves - often marked by Rotor/roll clouds. The most powerful rotor lies beneath the first wave crest (one wavelength downwind)
These waves are generated when:
Wind direction: generally perpendicular (+/-30º) fashion, raised up over the mountains. And no significant change in direction with altitude.
Wind speed: strong. At least 20 kt, increasing with altitude, at the summits.
Marked layer of stability/strong inversion around altitude of summits – which will work as a barrier over the mountains.
Cloud Formation associated with Mountain Waves
Lenticular clouds (lens shaped clouds) can form in the crest of the mountain waves.
Rotor/Roll Clouds can also occur in the rotors below the waves.
Cap clouds form on the ridge and strong winds may sweep the cloud down the lee slopes.
- These clouds are a good indication of the presence of mountain waves but, if the air is dry, there may not be any cloud to see.","<div class=""mt10 fl wd100""> <div class=""fl tc mr20"" id=""annexContainer31612""> <a href=""/ImageViewer/index?image=F40648C3-59CF-4716-A8B3-9BAE255AADF3&size=2"" target=""_blank""> <img style=""border: solid thin rgb(219 219 219 / 32%); width: 163px !important; height: 136px !important; "" src=""/getimage/F40648C3-59CF-4716-A8B3-9BAE255AADF3"" alt=""thumb_3_509731 .png"" /> </a> </div></div>",73427,".
MOUNTAIN/LEE WAVES develop on the lee, or downwind, side of mountains.
The most severe turbulence associated with Mountain waves can occur in the Rotor Zone
, lying beneath the crests of lee waves - often marked by Rotor/roll clouds. The most powerful rotor lies beneath the first wave crest (one wavelength downwind)
These waves are generated when:
Wind direction: generally perpendicular (+/-30º) fashion, raised up over the mountains. And no significant change in direction with altitude.
Wind speed: strong. At least 20 kt, increasing with altitude, at the summits.
Marked layer of stability/strong inversion around altitude of summits – which will work as a barrier over the mountains.
Cloud Formation associated with Mountain Waves
Lenticular clouds (lens shaped clouds) can form in the crest of the mountain waves.
Rotor/Roll Clouds can also occur in the rotors below the waves.
Cap clouds form on the ridge and strong winds may sweep the cloud down the lee slopes.
- These clouds are a good indication of the presence of mountain waves but, if the air is dry, there may not be any cloud to see."
Gridded data sets used for weather forecasting include which of the following information?1. Wind direction and speed   2. Flight level and temperature of the tropopause    3. Relative humidity    4. Aerodrome temperature and dew point    5. Visibility / runway visual range (RVR),"[{'id': 1, 'answer': '1, 2 and 4.'}, {'id': 2, 'answer': '1, 2 and 3.'}, {'id': 3, 'answer': '1, 2, 3, 4 and 5.'}, {'id': 4, 'answer': '3, 4 and 5.'}]","1, 2 and 3.","Learning Objective 050.10.02.04.02: Explain that world area forecast centres prepare global sets of gridded forecasts for flight planning purposes (upper wind, temperature, humidity).
Numerical weather predictions (NWPs) uses mathematical models of the atmosphere and oceans to predict the weather based on current weather conditions. The gridded forecasts are part of the NWP.
Gridded forecasts are available between FL050 and FL630.
These are for the following atmospheric variables:
Air temperature
Humidity
Wind direction and speed
Temperature and level of the tropopause
Wind speed, wind direction and flight level of maximum wind
Geopotential altitude of the flight levels
Cumulonimbus clouds, turbulence and icing.
Gridded forecasts are combined into information processing systems. The data is relayed from many sources, particularly radiosondes and pilot reports.",,85784,"Learning Objective 050.10.02.04.02: Explain that world area forecast centres prepare global sets of gridded forecasts for flight planning purposes (upper wind, temperature, humidity).
Numerical weather predictions (NWPs) uses mathematical models of the atmosphere and oceans to predict the weather based on current weather conditions. The gridded forecasts are part of the NWP.
Gridded forecasts are available between FL050 and FL630.
These are for the following atmospheric variables:
Air temperature
Humidity
Wind direction and speed
Temperature and level of the tropopause
Wind speed, wind direction and flight level of maximum wind
Geopotential altitude of the flight levels
Cumulonimbus clouds, turbulence and icing.
Gridded forecasts are combined into information processing systems. The data is relayed from many sources, particularly radiosondes and pilot reports."
